PersonIdCode,4601,4602,4603,4604,4605,4606,4607,4608,4609,4610,4611,4612,4613,4614,4615,4616,4617,4618,4619,4620,4701,4702,4703,4704,4705,4706,4707,4708,4709,4710,4711,4712,4713,4714,4715,4716,4717,4718,4801,4802,4803,4804,4805,4806,4807,4808,4809,4810,4811,4812,4813,4814,4815,4816,4817,4818,4819,4820,4901,4902,4903,4904,4905,4906,4907,4908,4909,4910,4911,4912,4913,4914,4915,4916,4917,4918,4919,4920,5001,5002,5003,5004,5005,5006
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,9,1,0,0,0,0,0,2,2,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,3,14
2061,0,0,2,0,1,4,0,3,5,1,19,4,0,3,9,2,3,5,2,11,2,10,0,19,10,7,10,9,12,20,27,0,25,17,20,16,21,38,20,9,1,11,15,24,18,0,20,8,16,18,17,17,14,32,19,0,25,14,13,11,0,24,13,27,25,0,9,15,13,26,0,16,11,21,21,0,21,16,22,8,0,22,37,24
2129,2,10,6,7,5,6,0,1,4,6,5,8,5,10,12,0,9,0,13,11,13,27,25,7,30,4,29,19,19,0,19,3,26,19,18,29,13,16,14,12,0,4,12,21,20,14,18,0,32,23,21,15,24,16,20,9,30,53,19,35,9,30,33,12,23,9,23,23,25,17,10,23,21,10,16,5,27,29,19,20,9,13,25,13
2143,3,4,7,4,4,3,6,1,5,1,12,3,6,4,3,1,5,2,0,5,3,10,0,4,3,9,6,3,4,3,2,2,2,6,3,13,1,4,8,9,0,3,4,4,4,0,4,0,11,10,6,4,7,3,2,1,2,6,0,6,0,6,7,4,12,0,11,7,8,15,0,12,11,6,7,0,15,26,6,6,0,12,9,13
2147,9,26,17,15,10,9,0,12,9,1,14,12,0,14,7,14,11,0,10,15,12,11,0,6,4,13,19,12,9,7,10,0,5,7,8,12,10,13,4,7,3,6,8,7,13,0,11,1,13,10,16,12,10,9,9,0,11,8,1,4,2,4,2,1,2,0,6,3,1,2,3,0,1,3,3,1,1,3,5,2,1,10,1,2
2287,3,5,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
2292,2,1,3,5,1,0,0,13,0,0,4,8,0,2,1,7,3,0,0,3,3,2,0,3,7,3,3,5,2,7,2,0,0,10,0,0,7,3,2,6,0,5,16,0,0,0,4,0,0,0,0,0,1,4,2,1,1,3,3,0,1,13,3,3,0,0,5,1,11,8,3,3,8,1,9,1,14,3,12,3,0,11,5,2
2310,0,0,0,0,0,0,0,0,1,1,0,3,0,3,0,1,4,0,0,3,0,1,0,3,2,18,2,0,0,4,0,3,0,0,2,1,2,4,1,5,0,3,3,1,12,1,25,0,16,13,15,21,38,22,24,1,59,55,7,12,0,24,14,19,16,0,6,35,15,38,0,23,10,7,43,0,52,33,22,74,8,64,92,92
2323,2,1,2,6,0,2,0,9,1,0,0,4,1,0,0,0,1,0,1,1,3,5,3,0,0,4,0,3,1,0,5,1,0,3,14,4,8,8,4,6,0,28,1,1,2,2,11,0,12,8,10,5,11,12,10,2,14,5,5,7,0,3,1,3,3,1,4,10,0,2,3,11,9,0,0,1,5,7,11,4,0,6,4,0
2328,2,3,1,2,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1
2370,2,4,3,1,0,8,0,1,2,0,8,4,0,0,2,1,4,5,8,4,4,7,0,0,4,4,3,1,0,1,2,6,0,3,0,3,4,6,5,6,0,3,0,2,9,6,1,0,0,8,10,8,8,16,17,0,17,13,19,21,0,22,7,14,9,0,18,13,3,14,0,10,19,12,11,0,16,18,2,17,0,8,5,11
2372,0,13,1,3,2,0,0,5,5,0,1,4,0,5,4,1,7,0,3,1,5,5,0,5,3,0,5,1,3,10,9,0,2,2,2,9,4,4,2,4,0,2,2,0,6,0,4,0,3,6,10,3,0,1,0,0,1,4,0,1,0,2,3,2,1,2,4,2,0,11,0,1,2,1,4,0,0,0,3,2,0,2,5,5
2385,6,1,8,4,2,1,3,6,5,0,4,4,0,2,1,2,3,0,0,3,0,26,0,5,0,6,7,3,11,6,8,4,0,4,2,1,8,6,2,5,0,5,4,7,0,2,1,0,0,1,2,2,2,3,3,3,2,1,1,15,0,29,18,15,24,0,6,13,11,22,0,11,8,16,11,0,14,11,8,9,0,10,12,9
2405,1,23,6,0,12,15,4,14,25,0,234,161,67,223,239,4,3,1,2,8,9,0,0,2,16,3,5,1,0,0,3,1,5,1,5,11,7,6,3,10,1,8,13,6,8,0,22,0,5,13,15,7,19,9,14,0,20,8,10,5,0,15,5,6,11,0,10,8,10,16,0,20,11,38,10,0,24,103,12,14,0,8,5,9
2417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,7,3,4,1,1,1,0,6,3,2,2,7,11,0,3,11,1,13,1,2,5,2
2501,0,2,4,6,4,2,0,3,6,1,3,12,0,7,3,5,1,0,12,5,4,1,11,22,29,0,84,11,11,255,219,43,180,225,8,1,3,1,3,27,0,32,33,19,20,0,81,1,17,21,34,31,4,16,49,0,22,22,6,14,0,7,6,8,9,0,4,9,3,11,0,20,6,7,10,0,14,8,6,7,0,10,14,12
2510,0,1,2,3,16,0,0,22,7,0,3,7,0,13,14,6,7,0,8,2,4,6,26,23,5,3,2,0,2,1,5,5,1,24,38,102,63,65,13,19,1,38,18,19,47,15,93,0,64,55,96,25,58,79,86,26,43,85,77,45,0,116,52,49,43,0,104,127,30,83,17,88,113,64,87,1,45,130,45,58,0,71,97,67
2525,0,0,1,0,2,1,0,4,6,0,11,11,2,2,9,1,7,7,2,5,4,5,0,1,6,1,2,10,4,7,4,0,1,1,6,5,6,18,2,8,0,8,7,2,15,2,11,0,4,4,6,1,7,4,8,0,15,11,5,12,0,7,5,5,6,0,2,4,7,11,0,9,2,3,6,1,4,2,1,5,4,6,10,10
2530,0,2,2,1,2,4,0,1,2,1,5,5,0,4,11,2,2,0,3,4,9,0,0,0,14,1,7,5,6,9,11,0,1,0,0,4,0,1,4,1,0,2,3,4,2,3,0,0,7,8,1,2,1,34,58,19,45,89,42,49,42,57,82,82,81,2,26,35,28,83,0,66,40,19,54,9,69,54,28,89,6,77,52,19
2534,1,13,8,3,10,3,3,1,2,0,2,6,2,14,21,6,22,6,6,9,5,7,0,9,10,12,9,22,9,11,13,0,12,16,12,12,13,14,14,12,4,12,16,26,46,0,66,19,38,14,15,17,5,75,52,8,58,52,60,75,0,47,92,64,54,28,58,79,45,101,15,73,105,44,53,13,51,74,54,100,10,77,76,65
2536,0,3,2,0,3,0,5,2,4,0,6,3,2,9,1,13,2,1,1,0,0,2,0,1,6,0,3,1,8,3,9,3,1,2,6,13,1,6,5,6,0,3,5,1,2,0,5,0,5,0,4,5,0,2,2,6,0,6,1,9,2,2,2,1,2,1,3,1,0,2,1,0,1,1,9,0,5,2,29,61,4,50,76,218
2541,0,1,1,0,6,1,0,1,2,0,5,4,1,12,3,4,6,8,5,1,1,3,4,3,14,1,6,3,1,9,5,0,5,13,2,17,12,5,2,2,0,2,0,2,4,1,5,0,3,5,3,2,1,13,26,7,18,22,247,189,25,214,223,20,6,2,3,9,4,3,4,1,5,2,2,4,10,9,5,10,1,4,2,1
2546,0,0,0,0,1,0,0,2,0,2,5,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,5,0,12,7,6,3,0,15,5,10,19,0,4,5,3,12,0,17,14,12,16,0,34,8,34,5,0,27,9,8
2561,0,7,6,6,8,5,0,3,4,2,14,8,0,16,7,8,5,0,7,5,4,5,0,2,1,12,19,4,5,13,3,0,6,10,11,7,7,11,14,9,0,8,15,16,11,0,19,0,11,20,16,9,8,7,12,0,8,21,52,51,0,34,39,338,279,0,285,265,6,30,0,4,13,4,3,0,2,5,12,6,0,11,8,9
2565,0,0,0,0,0,2,0,3,3,1,2,2,0,3,1,2,4,0,4,2,15,0,0,3,2,6,6,3,0,4,0,0,3,0,2,1,4,0,4,2,0,1,2,2,2,0,1,0,1,2,0,3,1,5,6,1,0,1,0,5,0,8,3,7,3,0,5,7,5,10,0,3,2,5,1,0,11,2,5,8,0,30,19,9
2569,0,0,0,0,0,0,0,0,0,0,4,2,0,9,12,7,6,9,5,7,4,6,0,11,5,0,2,15,1,5,7,2,0,5,6,8,7,9,2,7,0,6,5,2,4,2,8,0,2,3,9,3,8,1,5,6,1,8,7,10,4,5,25,153,173,40,186,220,15,4,0,6,0,1,1,1,5,5,2,7,1,14,6,6
2573,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,6,2,2,2,1,0,2,0,1,17,6,0,1,2,1,13,0,4,7,2,1,3,8,0,10,0,11,15,23,24,9,37,0,51,222,172,228,243,10,5,0,10,0,0,8,0,15,8,12,8,0,11,13,8,0,0,4,8,13,2,0,7,20,3,4,0,8,3,9
2575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,6,1,4,0,9,12,21,12,6,9,5,13,0,56,3,44,26,51,6,8,5,1,8,8,7,10,0,11,5,7,18,12,23,13,11,14,0,11,15,27,8,0,13,27,18,58,0,31,29,218,303,0,253,253,11,12,0,14,10,16,11,0,11,17,31
2580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,3,5,1,8,3,9,3,14,1,2,2,10,17,4,14,14,9,0,19,9,1,4,0,6,0,19,8,10,22,12,11,12,11,3,10,7,13,0,8,7,17,13,4,11,7,7,8,4,6,11,1,10,5,3,10,8,2,2,6,31,11
2583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0,1,4,1,0,4,7,0,3,4,0,3,12,0,11,9,4,8,2,3,0,9,4,11,2,1,3,3,0,8,7,4,4,0,7,0,2,2,2,1,10,3,2,0,1,3,0,4,8,14,0,3,5,1,7,2,0
2584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,1,1,0,9,3,2,4,1,1,7,8,10,8,1,1,0,2,8,0,7,5,8,0,2,6,7,4,12,0,2,0,3,7,0,8,2,4,6,3,5,10,0,2,11,24,6,8,11,11,18,3,22,11,6,2,1,5,24,15
2585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,12,5,9,1,2,2,1,8,0,1,1,3,0,5,3,18,4,6,3,0,1,11,17,15,3,0,11,0,2,31,5,9,0,12,8,4,8,0,7,3,3,1,3,1,8,9,6,6,0,6,4,16,1,16,7,1
2588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,4,3,7,1,0,1,8,2,11,6,5,1,1,0,8,6,6,5,0,6,0,10,7,1,2,1,2,3,1,2,9,2,2,1,5,5,10,13,0,4,14,2,6,2,3,6,2,4,4,8,3,7,6,0,4,2,1
2589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,5,19,9,16,12,2,0,10,11,10,7,6,6,1,4,1,7,2,7,7,0,6,2,1,78,58,53,46,67,69,27,68,67,58,23,0,24,16,18,5,2,17,37,16,15,0,15,22,21,11,13,14,11,12,21,0,28,40,24
2593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,15,1,0,2,2,10,7,1,7,7,17,4,11,11,9,1,9,0,11,10,3,8,4,13,0,21,10,9,2,1,8,3,1,8,6,9,15,4,10,12,4,8,1,7,5,6,10,4,5,11,4,11,0,8,10,5,10,1,15,34,17
2594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,5,6,5,7,0,22,12,5,1,13,7,14,7,14,21,11,18,0,23,20,12,20,16,6,0,9,13,12,15,10,5,15,3,13,20,11,26,0,29,10,16,14,5,9,8,8,26,2,18,18,1,10,0,5,15,13,11,1,13,27,15
2597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,0,0,9,2,1,1,0,1,2,1,3,3,6,2,1,0,0,0,0,6,1,1,0,1,1,3,2,4,4,3,1,24,5,7,4,0,3,4,0,2,0,0,7,0,3,0,2,3,1,6,2,1,1,0,0,1,0,1,0
2600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,2,3,16,0,5,4,1,2,4,1,6,7,7,2,4,0,4,2,2,5,0,5,0,3,4,5,2,4,5,3,1,5,1,1,4,0,7,4,6,4,0,3,9,7,9,0,12,6,14,5,0,9,6,11,10,0,16,12,9
2601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,1,2,7,3,2,2,4,9,1,10,7,7,6,2,12,0,14,7,5,13,0,8,0,6,9,7,16,8,12,10,3,7,7,10,5,3,4,10,17,13,3,6,3,7,8,10,12,19,4,6,1,7,9,11,9,5,3,10,11
2608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,5,3,6,8,2,16,11,1,3,8,14,3,8,4,11,3,0,3,10,18,12,2,6,0,4,16,4,14,2,12,11,6,8,21,16,2,1,8,15,16,5,3,9,6,7,11,3,19,17,10,10,4,18,8,17,7,0,4,6,13
2613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,2,8,6,4,2,0,11,2,3,6,6,2,1,2,6,5,3,6,0,2,7,7,7,0,1,0,2,17,15,5,17,2,6,1,1,3,1,2,0,0,7,12,13,0,5,5,5,11,0,8,8,16,5,0,11,7,32,5,0,16,12,11
2614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,2,3,7,4,5,1,15,1,19,5,8,12,8,8,0,11,12,6,6,8,1,0,4,2,8,2,4,7,15,1,10,6,18,10,0,1,4,7,10,2,10,5,5,6,2,5,23,6,35,0,14,15,194,230,40,235,280,9
2616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,7,6,5,0,0,27,2,0,1,0,0,6,5,5,14,1,4,0,3,6,4,18,3,10,0,9,7,3,33,3,4,10,6,3,32,8,18,0,19,3,0,5,0,3,1,1,3,0,2,1,2,4,0,0,16,0,4,0,9,8,20
2617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,5,9,5,2,4,4,7,6,2,3,8,7,10,7,2,4,6,0,13,11,3,5,0,4,0,6,4,10,2,5,6,18,2,5,8,3,5,0,5,4,9,2,1,5,5,3,9,0,4,6,3,6,11,10,3,8,5,2,20,3,2
