,Active,AdditionalActivity,AdditionalMandate,BirthPlace_Canton,BirthPlace_City,CantonAbbreviation,CantonName,Citizenship,CouncilAbbreviation,CouncilName,DateElection_at,DateJoining_at,DateLeaving_at,DateOath_at,DateOfBirth_at,DateOfDeath_at,DateResignation_at,FirstName,Gender,ID,LastName,Mandates,MaritalStatus,MilitaryRank,NumberOfChildren,ParlGroupAbbreviation,ParlGroupFunction,ParlGroupFunctionText,ParlGroupName,PartyAbbreviation,PartyName,PersonIdCode
335,false,,"Kantonsrichterin AR 1986 - 1993, Oberrichterin AR seit 1993, Finanzkommission Gemeinde Trogen 1987 - 1994, Expertenkommission zur Revision des Kantonalbankengesetzes 1992, Vizepräsidentin der Verfassungskommission AR 1991 - 1994, Vorstand Frauenzentrale 1980 - 1986; Mitglied Vorstand HSG Alumni seit 1997; Mitglied Vorstand OcCC seit 1999",,Hagen,AR,Appenzell Rh.-Ext.,Trogen (AR),CN,Conseil national,1995-12-04,1995-12-04,2003-11-30,1995-12-04,1941-11-01,,2003-11-30,Dorle,f,362,Vallender,Mitglied Parteileitung FDP AR seit 1992,marié(e),,,,,,,,,2425.0
336,false,,,,Soleure,BE,Berne,Le Cerneux-Péquignot (NE),CN,Conseil national,2003-10-19,2003-12-01,2007-12-02,2003-12-01,1941-03-11,,2007-12-02,Ruth-Gaby,f,363,Vermot-Mangold,Legislative der Gemeinde: April 1986 bis Juni 1990; Legislative des Kantons: Grossrätin des Kantons Bern Juni 1990 bis Dezember 1995,marié(e),,2.0,,,,,,,2426.0
337,false,,,,Muri b. Bern,NE,Neuchâtel,Kölliken (AG),CN,Conseil national,1995-12-04,1995-12-04,1999-12-05,1995-12-04,1943-06-10,,1999-12-05,Daniel,m,364,Vogel,"Conseil général de 1978 à 1986, Conseil communal depuis 1987, Grand conseil de 1985 à 1995",marié(e),,2.0,,,,,PLR,PLR.Les Libéraux-Radicaux,2427.0
338,false,,Präs. grossrätliche Kommission f. kantonale Schulen AG,,Wohlen,AG,Argovie,Wohlen (AG),CN,Conseil national,1995-12-04,1995-12-04,1999-12-05,1995-12-04,1951-11-27,,1999-12-05,Agnes,f,365,Weber,Grosser Rat AG von 1989 bis 1995,divorcé(e),,,,,,,PSS,Parti socialiste suisse,2429.0
339,false,,,,St. Gall,SG,St-Gall,St-Gall (SG),CN,Conseil national,2003-10-19,2003-12-01,2006-09-15,2003-12-01,1956-02-19,,2006-09-15,Peter,m,366,Weigelt,"Grosser Gemeinderat St. Gallen von 1988 bis 1990, Kantonsrat St. Gallen von 1990 bis 1996",marié(e),Major,3.0,,,,,PLR,PLR.Les Libéraux-Radicaux,2430.0
340,false,,"Vizepräs. Schweiz. Gewerbeverband, Präs. Gewerbeverband Kanton St.Gallen",,Walenstadt,SG,St-Gall,Bad Ragaz (SG),CN,Conseil national,1995-12-04,1995-12-04,2003-11-30,1995-12-04,1941-04-10,,2003-11-30,Hans Werner,m,367,Widrig,"Schulratspräsident Bad Ragaz von 1978 bis 1988, Kantonsrat SG von 1983 bis 1987",marié(e),Premier-lieutenant,3.0,,,,,,,2189.0
341,false,,Vizepräsidentin CVP von März 1994 bis März 2000,,Rapperswil,ZH,Zurich,"Dübendorf (ZH),Rapperswil (SG)",CN,Conseil national,2003-10-19,2003-12-01,2006-12-14,2003-12-01,1939-06-16,,2006-12-14,Rosmarie,f,368,Zapfl,Legislative der Gemeinde: 1974 bis 1978; Exekutive der Gemeinde: 1978 bis 1990,marié(e),,3.0,,,,,PDC,Parti démocrate-chrétien suisse,2431.0
342,false,,Préfet de la Broye,,Berne,FR,Fribourg,Guin (FR),CE,Conseil des Etats,1995-12-04,1995-12-04,1999-12-05,1995-12-04,1950-02-14,,1999-12-05,Pierre,m,369,Aeby,"1978 à 1981 exécutif communal, 1992 à en fonction exécutif cantonal",marié(e),Soldat,2.0,,,,,PSS,Parti socialiste suisse,2440.0
343,false,,Vizepräsidentin der FDP Fraktion seit 2003,,Zurich,SG,St-Gall,"St-Gall (SG),Neunkirch (SH)",CE,Conseil des Etats,2007-11-25,2007-12-03,2011-12-04,2007-12-03,1944-02-27,,2011-12-04,Erika,f,370,Forster-Vannini,Gemeinderat von 1977 bis 1988 (Präsidentin 1982); Kantonsrat von 1988 bis 1995 (Präsidentin 1994/1995),marié(e),,4.0,,,,,PLR,PLR.Les Libéraux-Radicaux,2432.0
344,false,,Vice-présidence du groupe parlementaire socialiste dès 1999,,Lausanne,JU,Jura,"La Sagne (NE),Delémont (JU)",CE,Conseil des Etats,2003-10-19,2003-12-01,2007-12-02,2003-12-01,1952-07-12,2008-09-23,2007-12-02,Pierre-Alain,m,371,Gentil,Conseiller communal de 1989 à 1993; Exécutif communal de Delémont: maire dès le 1 janvier 1994; Législatif cantonal: Parlement jurassien de 1982 à 1992,séparé(e),Soldat,1.0,,,,,PSS,Parti socialiste suisse,2433.0
345,false,,Parteipräsident der CVP von 1982 bis 1989,,Altdorf,UR,Uri,Gurtnellen (UR),CE,Conseil des Etats,2007-10-21,2007-12-03,2011-12-04,2007-12-03,1947-06-09,,2011-12-04,Hansheiri,m,372,Inderkum,Gemeindevizepräsident von 1979 bis 1980; Gemeindepräsident vom 1. Januar 1980 bis 31. Dezember 1981; Landrat von 1984 bis 1996; Landratspräsident 1992/93,marié(e),,2.0,,,,,PDC,Parti démocrate-chrétien suisse,2443.0
346,false,,Vizepräsidentin FDP Kanton Luzern: von 1989 bis 2001,,Pfäffikon,LU,Lucerne,"Birwinken (TG),Meggen (LU)",CE,Conseil des Etats,2007-10-21,2007-12-03,2011-12-04,2007-12-03,1943-11-07,2014-12-31,2011-12-04,Helen,f,373,Leumann,Legislative der Gemeinde: Schulpflegerin von September 1979 bis Dezember 1985; Legislative des Kantons: Grossrätin von Juni 1983 bis März 1995,marié(e),,3.0,,,,,PLR,PLR.Les Libéraux-Radicaux,2437.0
347,false,,,,Sorengo,TI,Tessin,"Guttet (VS),Lugano (TI)",CE,Conseil des Etats,2007-11-18,2007-12-03,2011-12-04,2007-12-03,1945-01-07,,2011-12-04,Dick,m,374,Marty,Conseiller d'Etat depuis 1989 jusqu'à 1995,marié(e),,3.0,,,,,PLR,PLR.Les Libéraux-Radicaux,2441.0
348,false,,"Président des Chemins de fer du Jura, Président de l'Hôpital de Saignelégier, 1967 - 1981 Président Association régionale JURA (LIM), Président Association des maires des Franches-Montagnes",,Soubey,JU,Jura,Soubey (JU),CE,Conseil des Etats,1995-12-04,1995-12-04,2003-11-30,1995-12-04,1937-07-24,2016-03-09,2003-11-30,Pierre,m,375,Paupe,"Maire de Montfaucon de 1967 à 1974, Maire de Saignelégier de 1989 à 1996, Député à l'Assemblée constituante de 1976 à 1979, Député au 1er Parlement jurassien depuis 1979, Secrétaire général et puis président du PDC du Jura, Président de la Commission politique",marié(e),Colonel,2.0,,,,,,,2434.0
349,false,,,,Sorengo,TI,Tessin,Cevio (TI),CE,Conseil des Etats,1995-12-04,1995-12-04,1999-12-05,1995-12-04,1944-07-02,,1999-12-05,Renzo,m,376,Respini,"Consiglio di Stato de 1983 à 1995, Membre dell'ufficio presidenziale",marié(e),Major,,,,,,PDC,Parti démocrate-chrétien suisse,2442.0
350,false,,"1982 - 1984 Président Société vaud. médécine, 1986 - 1988 Président Société Romande médécine",,Gland,VD,Vaud,"L'Abbaye (VD),Le Lieu (VD)",CE,Conseil des Etats,1995-12-04,1995-12-04,1999-12-05,1995-12-04,1948-03-28,,1999-12-05,Eric,m,377,Rochat,"Conseiller communal de 1994 à 1995, Député au Grand Conseil de 1990 à 1995, Président groupe libéral du Grand Conseil",marié(e),Soldat,1.0,,,,,PLD,Parti libéral démocrate,2439.0
351,false,,Présidente Parti radical genevois de 1985 à 1989,,Lyon,GE,Genève,Martigny (VS),CE,Conseil des Etats,2003-10-19,2003-12-01,2007-12-02,2003-12-01,1939-11-09,,2007-12-02,Françoise,f,378,Saudan,Législatif cantonal: de 1985 à 1995,marié(e),,2.0,,,,,,,2435.0
352,false,,Vizepräsident der CVP-Fraktion seit 1. Januar 1999,,Grosswangen,LU,Lucerne,Grosswangen (LU),CE,Conseil des Etats,2003-10-19,2003-12-01,2007-12-02,2003-12-01,1939-01-28,,2007-12-02,Franz,m,379,Wicki,Grossrat  von 1979 bis 1995 (Präsident  1992); Vorsitzender der Verfassungskommission Totalrevision der Luzerner Staatsverfassung,marié(e),Colonel,3.0,,,,,,,2438.0
353,false,Präsident Verband Aarg. Baumeister seit 1988,,,Langenthal,AG,Argovie,Leimiswil (BE),CN,Conseil national,1995-12-11,1995-12-11,1999-12-05,1995-12-11,1945-04-21,,1999-12-05,Ernst,m,380,Hasler,"Vizeammann von 1978 bis 1990, Grossrat von 1981 bis 1995",marié(e),Appointé,2.0,,,,,UDC,Union Démocratique du Centre,2444.0
354,false,Vizepräsident des kantonalzürcherischen Gemeindepräsidentenverbandes,,,Horgen,ZH,Zurich,"Turbenthal (ZH),Horgen (ZH)",CN,Conseil national,1996-03-04,1996-03-04,2003-11-30,1996-03-04,1950-02-03,,2003-11-30,Walter,m,385,Bosshard,"Gemeinderat von 1982 bis 1985, Gemeindepräsident seit 1985, Kantonsrat von 1991 bis Frühjahr 1996",célibataire,Appointé,,,,,,,,2445.0
355,false,,Geschäftsleitung der SP Kanton Luzern seit Frühjahr 2003,,Hochdorf,LU,Lucerne,"Hochdorf (LU),Lucerne (LU)",CN,Conseil national,2007-10-21,2007-12-03,2010-05-30,2007-12-03,1941-09-09,,2010-05-30,Hans,m,390,Widmer,"Legislative der Gemeinde Luzern (Grosser Stadtrat): von 1979 bis 1987, Legislative des Kantons (Grossrat):  von 1987 bis 1996",marié(e),Soldat,2.0,,,,,PSS,Parti socialiste suisse,2446.0
356,false,"Créatrice et directrice de Radio Acidule (1983 à 1994), Président de l'ASSUAS",Président section de Lausanne du P.O.P.,,Lausanne,VD,Vaud,"Vallorbe (VD),Eclépens (VD)",CN,Conseil national,1996-11-25,1996-11-25,1999-12-05,1996-11-25,1937-08-02,,1999-12-05,Christiane,f,394,Jaquet-Berger,"Conseil communal de Lausanne de 1993 à 1996, Législatif cantonal de 1978 à 1986, de 1987 à aujourd'hui Grand Conseil vaudois",marié(e),,2.0,,,,,PdT,Parti Suisse du travail,2447.0
